*客户编码,*商品编码
0W50260452,4888409002
0W50260452,4888386002
0W50260452,4892810003
0W50260452,4888390001
0W50260452,4888389001
0W50260452,4888401002
0W50260452,4888406001
0W50260452,4888407001
0W50260452,4888408001
0W50260452,4888414002
0W50260452,4888415002
0W50260452,4888416002
0W50260452,4888411001
0W50260452,4888392001
0W50260452,4888400002
0W50260452,4888627002
0W50260452,4888404002
0W50260452,4888394001
0W50260452,4888403002
0W50260452,4893844001
0W50260452,4891618002
0W50260452,4888421002
0W50261515,4888387002
0W50261515,4888419002
0W50261515,4888420002
0W50261515,4888415002
0W50261515,4888416002
0W50261515,4888409002
0W50261515,4891904002
0W50261515,4888408001
0W50261515,4888407001
0W50261515,4888390001
0W50261515,4888389001
0W50261515,4888417002
0W50261515,4888418002
0W50261515,4888386002
0W50261515,4888392001
0W50261515,4888400002
0W50261515,4888627002
0W50261515,4888399001
0W50261515,4888395001
0W50261515,4888396001
0W50261515,4888404002
0W50261515,4888403002
0W50261515,4893844001
0W50261515,4891618002
0W50261515,4888421002
0W50260480,4888401002
0W50260480,4888386002
0W50260480,4888408001
0W50260480,4888407001
0W50260480,4888415002
0W50260480,4888416002
0W50260480,4888414002
0W50260480,4888389001
0W50260480,4888390001
0W50260480,4888392001
0W50260480,4888400002
0W50260480,4888627002
0W50260480,4888404002
0W50260480,4888403002
0W50260480,4888399001
0W50260480,4888394001
0W50260480,4888396001
0W50260480,4888395001
0W50260480,4893844001
0W50260480,4891618002
0W50260859,4888415002
0W50260859,4888416002
0W50260859,4888414002
0W50260859,4888386002
0W50260859,4888401002
0W50260859,4891904002
0W50260859,4888409002
0W50260859,4888406001
0W50260859,4888400002
0W50260859,4888627002
0W50260859,4888395001
0W50260859,4888399001
0W50260859,4888394001
0W50260859,4888396001
0W50260859,4893844001
0W50260859,4888413002
0W50260859,4888412002
0W50267871,4888394001
0W50267871,4888395001
0W50267871,4888396001
0W50267871,4893844001
0W50267871,4888413002
0W50260465,4888409002
0W50260465,4891904002
0W50260465,4888415002
0W50260465,4888416002
0W50260465,4888407001
0W50260465,4888408001
0W50260465,4888406001
0W50260465,4888401002
0W50260465,4888389001
0W50260465,4888390001
0W50260465,4892810003
0W50260465,4888386002
0W50260465,4893182001
0W50260465,4888392001
0W50260465,4888627002
0W50260465,4888400002
0W50260465,4888403002
0W50260465,4888404002
0W50260465,4888399001
0W50260465,4888394001
0W50260465,4888395001
0W50260465,4893844001
0W50269001,4888409002
0W50269001,4891904002
0W50269001,4888408001
0W50269001,4888407001
0W50269001,4888386002
0W50269001,4888415002
0W50269001,4888416002
0W50269001,4892810003
0W50269001,4888411001
0W50269001,4888627002
0W50269001,4888403002
0W50269001,4893844001
0W50267871,4888387002
0W50267871,4891904002
0W50267871,4888410001
0W50267871,4892810003
0W50267871,4888391001
0W50267871,4888389001
0W50267871,4888415002
0W50267871,4888416002
0W50267871,4888386002
0W50267871,4888390001
0W50267871,4888408001
0W50267871,4888392001
0W50267871,4888400002
0W50267871,4888627002
0W50267871,4888412002
0W50268000,4888387002
0W50268000,4888414002
0W50268000,4888406001
0W50268000,4888408001
0W50268000,4888407001
0W50268000,4888386002
0W50268000,4888401002
0W50268000,4897114001
0W50268000,4892810003
0W50268000,4897115001
0W50268000,4888390001
0W50268000,4888389001
0W50268000,4888415002
0W50268000,4888416002
0W50268000,4888400002
0W50268000,4888627002
0W50268000,4888404002
0W50268000,4888399001
0W50268000,4893844001
0W50268000,4888421002
0W50268000,4888412002
0W50260460,4888387002
0W50260460,4888409002
0W50260460,4891904002
0W50260460,4888411001
0W50260460,4888406001
0W50260460,4888408001
0W50260460,4888407001
0W50260460,4892810003
0W50260460,4888391001
0W50260460,4888390001
0W50260460,4888389001
0W50260460,4888401002
0W50260460,4888386002
0W50260460,4888414002
0W50260460,4888415002
0W50260460,4888416002
0W50260460,4888392001
0W50260460,4888400002
0W50260460,4888627002
0W50260460,4888399001
0W50260460,4888395001
0W50260460,4888396001
0W50260460,4888394001
0W50260460,4888403002
0W50260460,4888404002
0W50260460,4893844001
0W50260460,4891618002
0W50260460,4888413002
0W50260460,4888412002
0W50260469,4888387002
0W50260469,4888419002
0W50260469,4888420002
0W50260469,4888415002
0W50260469,4888416002
0W50260469,4891904002
0W50260469,4888406001
0W50260469,4888407001
0W50260469,4888386002
0W50260469,4888401002
0W50260469,4892810003
0W50260469,4888390001
0W50260469,4888389001
0W50260469,4888400002
0W50260469,4888627002
0W50260469,4888394001
0W50260469,4888396001
0W50260469,4888404002
0W50260469,4888403002
0W50260469,4893844001
0W50260469,4891618002
0W50260469,4888413002
0W50268631,4890737001
0W50268631,4888386002
0W50268631,4888391001
0W50268631,4888401002
0W50268631,4888400002
0W50268631,4888627002
0W50268631,4888399001
0W50268631,4888395001
0W50268631,4888394001
0W50268631,4888396001
0W50268631,4888404002
0W50268631,4888403002
0W50268631,4893844001
0W50268631,4888413002
0W50268631,4888412002
0W50260459,4888386002
0W50260459,4892810003
0W50260459,4888391001
0W50260459,4888390001
0W50260459,4888389001
0W50260459,4888401002
0W50260459,4888406001
0W50260459,4888408001
